symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600211,西藏药业,-2.972257746385969,2.18076,89.9916,-51.0588
sh600212,江泉实业,3.661802938457753,4.05244,272.905,-4.52465
sh600213,亚星客车,-10.436268488938854,0.498931,156.502,-76.8146
sh600215,长春经开,-10.913940501078248,2.34082,171.763,-78.1534
sh600216,浙江医药,4.495950344886953,1.71258,143.644,40.609
sh600218,全柴动力,-5.591217543275636,3.7762200000000004,169.584,-13.366
sh600219,南山铝业,4.5847712418654325,2.0,194.366,-16.3811
sh600220,江苏阳光,0.6300825814629046,0.890208,166.229,-55.2348
sh600221,海南航空,14.819618479573121,4.92424,354.081,69.6522
sh600222,太龙药业,-4.41218397707783,0.84686,522.601,-82.1657
sh600223,鲁商置业,-7.3244055161199375,2.04545,99.9894,62.4461
sh600227,赤天化,-9.13828058782307,1.03926,242.301,-79.7633
sh600228,昌九生化,17.54948269564386,1.48607,245.156,83.0617
sh600229,青岛碱业,-0.5090716226233087,1.2506,374.794,3.08876
sh600230,沧州大化,-0.30551801721380495,1.43575,129.506,77.8404
sh600231,凌钢股份,6.340179699058179,1.7921099999999999,125.829,51.4555
sh600233,大杨创世,0.038216632548491704,3.16126,380.646,56.3579
sh600234,山水文化,0.7052318296676203,4.03706,339.313,6.23429
sh600235,民丰特纸,-0.3845119156937667,2.2963,315.206,58.7629
sh600236,桂冠电力,5.552712227958721,6.71053,223.514,-0.211135
sh600237,铜峰电子,-10.572698983642342,2.58065,187.87,-53.6097
sh600238,海南椰岛,6.125961288683457,5.13552,191.82,46.2684
sh600239,云南城投,2.673420258746905,2.67857,124.337,55.3686
sh600240,华业地产,5.578608156978234,3.2608699999999997,151.158,63.273
sh600241,时代万恒,2.0323377454655227,2.01613,407.466,75.972
sh600243,青海华鼎,11.30745836660511,5.19276,362.924,27.0628
sh600248,延长化建,-6.573524656055028,1.3428799999999999,110.651,57.6656
sh600249,两面针,-14.287658711630122,2.15898,233.296,-70.7298
sh600251,冠农股份,-10.371353816817566,2.25873,96.33,-71.1887
sh600252,中恒集团,-13.299561402774698,-0.247219,206.066,-91.5825
sh600255,鑫科材料,11.089705942999807,6.504060000000001,413.904,49.4862
sh600256,广汇能源,-11.746271674611574,-0.19588600000000003,239.31,-91.1822
sh600257,大湖股份,-0.4515841169655337,1.32075,211.541,-70.2086
sh600260,凯乐科技,16.919825603323286,7.78894,733.468,53.3202
sh600261,阳光照明,9.383866707554985,3.41186,146.328,58.5529
sh600262,北方股份,13.878314479951717,6.53282,98.2949,0.0
sh600266,北京城建,-4.316315845121624,2.36601,160.51,-55.8839
sh600267,海正药业,-5.818980198853868,1.82073,129.503,-36.2887
sh600268,国电南自,11.427205228034252,4.38095,203.037,51.5148
sh600269,赣粤高速,-8.124653013367752,2.0155,122.628,-37.4854
sh600270,外运发展,0.47571573874393114,2.7841299999999998,108.287,-4.01171
