symbol,name,big in(%),small in(%),price(%),turnover,big/price
sz000807,云铝股份,8.5,-3.8,1.7,256.606,5.0
sz002723,金莱特,0.4,-2.2,0.08,964.651,5.0
sz002698,博实股份,50.0,43.6,10.0,30.1477,5.0
sh600641,万业企业,1.8,-0.6,0.36,206.769,5.0
sz002371,七星电子,8.2,-1.1,1.65,147.804,4.97
sh600093,禾嘉股份,49.6,5.0,10.01,745.052,4.96
sh603369,今世缘,7.5,-2.8,1.52,976.486,4.93
sh600711,盛屯矿业,48.5,3.4,9.98,1579.25,4.86
sh600020,中原高速,48.7,17.3,10.07,159.886,4.84
sh600318,巢东股份,48.3,8.0,9.99,405.138,4.83
sz000695,滨海能源,6.9,-3.6,1.43,496.253,4.83
sz000898,鞍钢股份,48.4,10.7,10.07,178.177,4.81
sh600169,太原重工,48.0,4.8,9.99,557.848,4.8
sz002610,爱康科技,2.3,0.9,0.48,403.496,4.79
sz000027,深圳能源,7.3,1.1,1.53,614.887,4.77
sh600481,双良节能,47.6,2.9,10.01,557.872,4.76
sz000426,兴业矿业,4.4,3.2,0.93,353.568,4.73
sh600125,铁龙物流,15.3,0.9,3.24,743.11,4.72
sz002661,克明面业,10.4,0.0,2.21,354.931,4.71
sz000090,天健集团,0.8,1.8,0.17,503.197,4.71
sz002582,好想你,47.0,11.5,10.0,867.992,4.7
sz000049,德赛电池,46.8,5.5,10.01,1046.42,4.68
sz002103,广博股份,0.7,2.8,0.15,547.37,4.67
sh600773,西藏城投,46.5,6.5,10.01,505.167,4.65
sh600629,棱光实业,46.4,33.7,10.0,6.32601,4.64
sz002650,加加食品,19.2,0.6,4.17,473.966,4.6
sh600889,南京化纤,10.2,1.9,2.22,246.387,4.59
sz002679,福建金森,6.6,2.9,1.44,1114.14,4.58
sh600119,长江投资,45.7,3.1,9.99,1703.77,4.57
sh600273,嘉化能源,8.2,1.8,1.8,561.046,4.56
sh600113,浙江东日,9.1,-0.9,2.0,345.112,4.55
sz002339,积成电子,9.6,2.3,2.11,499.694,4.55
sh600385,山东金泰,45.3,7.6,9.98,481.637,4.54
sh600006,东风汽车,45.5,9.6,10.04,289.539,4.53
sz000555,神州信息,45.3,29.3,10.0,19.639,4.53
sz002538,司尔特,11.8,1.6,2.61,972.696,4.52
sz000593,大通燃气,45.3,21.4,10.03,519.025,4.52
sh600129,太极集团,42.2,1.8,9.37,510.879,4.5
sz000918,嘉凯城,12.9,-3.6,2.87,179.024,4.49
sh600160,巨化股份,10.9,0.7,2.44,289.455,4.47
sz002197,证通电子,43.9,2.3,10.01,986.425,4.39
sh600165,新日恒力,8.7,-0.3,1.99,589.071,4.37
sh600363,联创光电,1.0,0.8,0.23,521.379,4.35
sh600323,瀚蓝环境,2.3,0.8,0.53,305.661,4.34
sz002213,特 尔 佳,19.2,0.1,4.43,1415.41,4.33
sh601689,拓普集团,12.1,0.0,2.8,1467.84,4.32
sz002293,罗莱家纺,6.8,3.5,1.58,177.139,4.3
sh600456,宝钛股份,4.9,0.8,1.14,276.489,4.3
sz000721,西安饮食,43.1,6.4,10.02,1187.44,4.3
sh600749,西藏旅游,42.9,5.7,10.0,912.237,4.29
sh601100,恒立油缸,9.7,1.1,2.27,548.205,4.27
sh600282,南钢股份,4.7,0.4,1.1,235.693,4.27
sz002193,山东如意,8.2,4.6,1.94,441.996,4.23
sh600716,凤凰股份,8.8,2.1,2.09,225.061,4.21
sh600459,贵研铂业,9.6,1.3,2.28,670.952,4.21
sz000611,*ST蒙发,20.8,8.7,5.0,1012.8,4.16
sh600551,时代出版,8.7,1.1,2.1,302.034,4.14
sh600309,万华化学,5.2,-1.0,1.26,192.683,4.13
sh600836,界龙实业,41.3,5.1,10.01,1149.29,4.13
sz002095,生 意 宝,41.2,3.1,10.0,418.005,4.12
sh600998,九州通,6.5,0.3,1.6,382.51,4.06
sh600816,安信信托,14.7,0.6,3.66,742.18,4.02
sh600887,伊利股份,7.8,-0.1,1.94,270.879,4.02
sz002254,泰和新材,10.3,0.9,2.57,253.16,4.01
sz000752,西藏发展,40.0,10.0,10.0,702.064,4.0
sh600183,生益科技,18.3,-0.2,4.58,576.427,4.0
sh600556,慧球科技,12.2,-0.1,3.06,529.167,3.99
sz002074,东源电器,23.6,-0.7,5.92,1126.43,3.99
sh600682,南京新百,39.8,1.4,10.0,462.583,3.98
sz002325,洪涛股份,39.9,4.0,10.02,668.844,3.98
sz002002,鸿达兴业,22.2,-1.5,5.59,442.615,3.97
sz002749,国光股份,17.1,3.4,4.31,1786.22,3.97
sz002205,国统股份,26.0,-1.0,6.57,1259.6,3.96
sh600075,新疆天业,12.1,0.7,3.06,542.514,3.95
sh600182,S佳通,11.2,3.3,2.86,331.872,3.92
sz000819,岳阳兴长,39.2,4.6,10.0,388.215,3.92
sh600212,江泉实业,14.6,-3.0,3.73,878.325,3.91
sz000727,华东科技,39.1,5.7,10.0,1480.43,3.91
sz002152,广电运通,6.4,0.3,1.64,264.52,3.9
sh601098,中南传媒,35.5,2.5,9.13,224.237,3.89
sz002298,鑫龙电器,39.0,3.1,10.02,1433.35,3.89
sh600055,华润万东,16.1,6.9,4.15,142.255,3.88
sh600107,美尔雅,11.1,1.8,2.86,720.579,3.88
sz002689,博林特,10.7,2.8,2.76,593.297,3.88
sh600792,云煤能源,6.3,-3.2,1.63,249.179,3.87
sh600393,东华实业,7.0,0.2,1.81,328.07,3.87
sz000078,海王生物,38.7,3.5,10.02,950.016,3.86
sz002490,山东墨龙,5.6,2.3,1.46,828.311,3.84
sh600311,荣华实业,6.8,0.5,1.77,649.912,3.84
sz000156,华数传媒,38.3,5.9,10.01,331.277,3.83
sh600845,宝信软件,8.8,-1.7,2.3,180.541,3.83
sz002097,山河智能,5.2,-1.6,1.36,1111.73,3.82
sz002591,恒大高新,14.1,0.4,3.69,799.513,3.82
sh600744,华银电力,38.0,4.2,9.96,2245.53,3.82
sz002365,永安药业,15.9,-0.5,4.16,764.062,3.82
sh600818,中路股份,38.1,3.4,10.01,348.17,3.81
sh600540,新赛股份,14.6,-3.8,3.85,412.022,3.79
sh600635,大众公用,5.6,0.5,1.48,628.945,3.78
sz002463,沪电股份,9.9,-0.4,2.64,408.632,3.75
sh600110,中科英华,37.4,1.2,9.97,1999.04,3.75
sz002666,德联集团,17.7,4.4,4.72,1567.26,3.75
sh600090,啤酒花,37.4,3.3,9.98,1167.36,3.75
sz000417,合肥百货,12.3,-0.3,3.28,512.387,3.75
sh600078,澄星股份,11.4,1.3,3.05,535.853,3.74
sz000040,宝安地产,37.2,8.6,9.96,877.976,3.73
sh601880,大连港,13.6,0.2,3.66,349.543,3.72
sz002432,九安医疗,12.8,0.8,3.44,571.581,3.72
sh600419,天润乳业,25.4,3.7,6.88,558.341,3.69
sz000908,景峰医药,14.7,2.6,3.98,475.69,3.69
sh600353,旭光股份,17.6,0.5,4.79,742.325,3.67
sz002369,卓翼科技,13.6,2.7,3.72,1119.58,3.66
sz002647,宏磊股份,13.6,-0.6,3.75,1092.75,3.63
sh600980,北矿磁材,15.5,-2.4,4.27,483.983,3.63
sz002344,海宁皮城,36.3,6.2,10.02,276.173,3.62
sz002418,康盛股份,15.4,2.4,4.28,673.962,3.6
sz002315,焦点科技,2.9,-0.3,0.81,1366.66,3.58
sh600146,大元股份,20.0,2.5,5.58,398.48,3.58
sh600373,中文传媒,35.8,2.2,10.02,362.252,3.57
sz002681,奋达科技,17.7,2.9,4.96,1145.61,3.57
sz002730,电光科技,35.5,5.2,10.01,2900.56,3.55
sh600593,大连圣亚,11.3,-3.8,3.2,509.272,3.53
sh600876,洛阳玻璃,35.3,13.4,10.04,326.126,3.52
sh603678,火炬电子,12.2,7.3,3.47,359.726,3.52
sh600800,天津磁卡,9.5,1.4,2.7,578.719,3.52
sz002499,科林环保,11.1,-1.3,3.16,518.857,3.51
sh601113,华鼎股份,7.8,1.2,2.22,190.284,3.51
sz002227,奥 特 迅,1.3,-2.3,0.37,499.868,3.51
sh600234,山水文化,35.0,4.7,9.99,1889.74,3.5
sz002406,远东传动,16.7,-1.2,4.8,717.123,3.48
sh600664,哈药股份,11.8,0.1,3.39,341.251,3.48
sz002731,萃华珠宝,6.7,0.1,1.93,1489.7,3.47
sz002461,珠江啤酒,34.7,6.2,10.01,347.454,3.47
sh601928,凤凰传媒,11.5,-0.2,3.33,320.906,3.45
sz002649,博彦科技,12.4,1.8,3.59,995.33,3.45
sz000587,金叶珠宝,34.5,3.2,10.02,1033.53,3.44
sz000509,华塑控股,5.3,1.2,1.55,686.438,3.42
sh600865,百大集团,34.1,2.6,9.98,994.368,3.42
sh600130,波导股份,4.2,0.4,1.23,459.465,3.41
sz002183,怡 亚 通,26.0,1.3,7.65,614.268,3.4
sz000415,渤海租赁,8.0,2.5,2.35,184.382,3.4
sh600339,天利高新,9.0,0.6,2.65,629.068,3.4
sz002378,章源钨业,6.4,-2.1,1.88,162.139,3.4
sz002545,东方铁塔,11.6,1.2,3.42,619.613,3.39
sh603126,中材节能,2.0,3.5,0.59,1003.72,3.39
sz000589,黔轮胎Ａ,4.8,0.3,1.42,438.355,3.38
sh600890,中房股份,33.0,4.5,9.75,632.45,3.38
sh603001,奥康国际,10.5,6.0,3.11,122.902,3.38
sz000681,视觉中国,16.3,1.2,4.82,917.727,3.38
sz000546,金圆股份,6.0,1.5,1.78,644.767,3.37
sz000605,渤海股份,13.2,-7.6,3.93,617.639,3.36
sh600753,东方银星,14.5,5.4,4.32,393.435,3.36
sz002592,八菱科技,33.6,3.4,10.01,1051.39,3.36
sh600159,大龙地产,33.4,-1.3,9.97,1387.48,3.35
sh600846,同济科技,11.8,0.0,3.52,1373.97,3.35
sz000025,特  力Ａ,15.0,3.2,4.5,365.507,3.33
sz000748,长城信息,15.0,2.5,4.5,225.991,3.33
sh600774,汉商集团,33.3,13.6,10.01,197.042,3.33
sz000623,吉林敖东,7.6,-0.3,2.29,634.184,3.32
