symbol,name,big in(%),small in(%),price(%),big/price,turnover
sh600477,杭萧钢构,52.7,10.6,19.32,235.497,2.73
sh603003,龙宇燃油,24.0,-3.0,8.8,686.851,2.73
sz002574,明牌珠宝,18.0,6.1,6.62,196.469,2.72
sh601988,中国银行,9.0,0.1,3.35,37.6471,2.69
sz002701,奥瑞金,48.8,5.5,18.13,334.363,2.69
sz002227,奥 特 迅,56.9,1.3,21.24,313.83,2.68
sh600143,金发科技,36.1,4.5,13.53,231.929,2.67
sh600368,五洲交通,19.2,8.8,7.22,414.029,2.66
sz002675,东诚药业,53.7,5.7,20.16,553.663,2.66
sz002393,力生制药,23.8,0.4,8.99,168.034,2.65
sh600650,锦江投资,51.9,1.7,19.86,141.031,2.61
sz002276,万马股份,78.1,4.9,29.98,474.186,2.61
sh600680,上海普天,28.8,-10.7,11.04,303.345,2.61
sz002273,水晶光电,51.2,4.0,19.71,855.985,2.6
sz002162,斯米克,47.4,24.5,18.33,199.091,2.59
sh600721,百花村,40.0,5.8,15.43,116.696,2.59
sz000950,建峰化工,34.3,-4.2,13.25,470.462,2.59
sh600998,九州通,43.3,11.0,16.8,109.156,2.58
sz002474,榕基软件,36.1,7.4,14.06,1368.63,2.57
sh600678,四川金顶,56.9,8.5,22.17,341.517,2.57
sz002125,湘潭电化,63.5,12.9,24.72,868.528,2.57
sh600804,鹏博士,72.2,1.3,28.22,543.898,2.56
sh600846,同济科技,45.3,6.0,17.71,587.481,2.56
sz002614,蒙发利,23.1,12.9,9.02,290.303,2.56
sh600022,山东钢铁,22.8,12.3,8.97,137.365,2.54
sh601999,出版传媒,14.4,7.8,5.7,198.533,2.53
sz002456,欧菲光,34.6,1.3,13.67,1253.2,2.53
sz002129,中环股份,35.4,5.3,14.01,240.043,2.53
sz000838,国兴地产,25.6,-0.2,10.1,165.917,2.53
sh600761,安徽合力,10.2,2.8,4.04,158.984,2.52
sz000861,海印股份,24.7,-1.0,9.84,201.293,2.51
sh600892,宝诚股份,28.2,13.9,11.25,312.601,2.51
sh603703,盛洋科技,68.7,11.8,27.39,4394.09,2.51
sz002265,西仪股份,25.2,0.0,10.1,104.983,2.5
sz002546,新联电子,38.1,6.4,15.33,415.778,2.49
sh600781,辅仁药业,24.0,3.7,9.63,163.259,2.49
sh600795,国电电力,19.2,0.0,7.75,717.886,2.48
sz002294,信立泰,18.7,-2.1,7.58,322.743,2.47
sh600611,大众交通,48.7,2.5,19.79,322.364,2.46
sz002253,川大智胜,25.5,6.9,10.41,745.321,2.45
sh600416,湘电股份,39.4,-2.8,16.05,129.976,2.45
sz002740,爱迪尔,45.1,2.2,18.51,1308.43,2.44
sz000793,华闻传媒,21.9,-1.8,8.97,307.979,2.44
sh600818,中路股份,64.6,6.4,26.53,274.995,2.43
sz000887,中鼎股份,35.5,5.5,14.6,131.196,2.43
